timestamp,sysDescr,sysUpTimeInstance,latency
2014-08-19 02:53:01.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:00.05,2
2014-08-19 02:53:03.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:02.05,2
2014-08-19 02:53:05.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:04.05,2
2014-08-19 02:53:07.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:06.05,2
2014-08-19 02:53:09.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:08.05,2
2014-08-19 02:53:11.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:10.05,3
2014-08-19 02:53:13.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:12.05,2
2014-08-19 02:53:15.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:14.05,2
2014-08-19 02:53:17.221,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:16.05,6
2014-08-19 02:53:19.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:18.05,5
2014-08-19 02:53:21.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:20.05,2
2014-08-19 02:53:23.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:22.05,2
2014-08-19 02:53:25.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:24.05,2
2014-08-19 02:53:27.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:26.05,2
2014-08-19 02:53:29.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:28.05,2
2014-08-19 02:53:31.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:30.05,2
2014-08-19 02:53:33.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:32.05,2
2014-08-19 02:53:35.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:34.05,2
2014-08-19 02:53:37.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:36.05,2
2014-08-19 02:53:39.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:38.05,4
2014-08-19 02:53:41.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:40.05,2
2014-08-19 02:53:43.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:42.05,2
2014-08-19 02:53:45.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:44.05,2
2014-08-19 02:53:47.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:46.05,2
2014-08-19 02:53:49.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:48.05,2
2014-08-19 02:53:51.226,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:50.05,2
2014-08-19 02:53:53.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:52.05,3
2014-08-19 02:53:55.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:54.05,2
2014-08-19 02:53:57.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:56.05,2
2014-08-19 02:53:59.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:45:58.05,2
2014-08-19 02:54:01.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:46:00.05,2
2014-08-19 02:54:03.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:46:02.05,2
2014-08-19 02:54:05.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:46:04.05,3
2014-08-19 02:54:07.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:46:06.05,2
2014-08-19 02:54:09.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:46:08.05,2
2014-08-19 02:54:11.216,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:46:10.05,2
